a,b,c,abc
374,893,3,1001946
131,673,5,440815
193,501,3,290079
298,234,9,627588
174,710,6,741240
120,572,8,549120
942,713,8,5373168
155,714,11,1217370
332,647,1,214804
182,720,2,262080
862,481,10,4146220
261,649,7,1185723
927,343,5,1589805
345,452,9,1403460
909,152,4,552672
349,718,3,751746
621,908,1,563868
135,491,10,662850
525,803,5,2107875
542,416,4,901888
993,383,3,1140957
371,978,3,1088514
460,642,5,1476600
253,243,11,676269
737,464,5,1709840
716,549,9,3537756
310,677,3,629610
345,838,1,289110
695,227,3,473295
823,156,9,1155492
969,842,2,1631796
580,701,4,1626320
713,986,10,7030180
179,816,8,1168512
277,983,10,2722910
722,395,8,2281520
469,804,2,754152
686,932,1,639352
930,168,3,468720
712,376,1,267712
429,840,9,3243240
784,390,11,3363360
116,728,3,253344
897,597,10,5355090
128,405,8,414720
845,548,9,4167540
138,871,5,600990
305,122,11,409310
132,435,6,344520
513,597,5,1531305
746,592,4,1766528
137,161,8,176456
935,440,4,1645600
159,904,8,1149888
498,549,1,273402
225,156,4,140400
607,485,6,1766370
891,842,11,8252442
670,157,7,736330
320,648,1,207360
496,527,1,261392
152,832,4,505856
641,185,5,592925
877,740,5,3244900
165,315,10,519750
914,929,1,849106
227,185,2,83990
833,431,2,718046
647,917,2,1186598
254,176,8,357632
478,862,2,824072
554,553,6,1838172
797,811,7,4524569
866,631,4,2185784
376,479,11,1981144
447,862,4,1541256
162,623,8,807408
756,835,11,6943860
370,271,3,300810
299,835,9,2246985
703,687,1,482961
778,244,5,949160
441,700,7,2160900
321,981,10,3149010
256,383,10,980480
346,529,1,183034
631,284,6,1075224
991,346,1,342886
678,692,5,2345880
941,794,1,747154
609,277,7,1180851
670,818,11,6028660
928,968,7,6288128
753,749,10,5639970
421,378,3,477414
573,923,2,1057758
105,574,3,180810
590,376,10,2218400
178,459,6,490212
947,614,4,2325832
295,163,5,240425
971,462,1,448602
453,305,3,414495
567,848,7,3365712
153,922,7,987462
937,171,2,320454
988,849,9,7549308
223,359,4,320228
469,787,5,1845515
516,636,10,3281760
964,941,6,5442744
528,405,11,2352240
961,137,1,131657
216,860,7,1300320
184,566,3,312432
478,635,5,1517650
685,121,6,497310
735,704,4,2069760
608,536,4,1303552
241,918,6,1327428
878,337,3,887658
507,546,6,1660932
853,709,8,4838216
270,719,5,970650
960,684,4,2626560
703,645,7,3174045
794,607,9,4337622
627,826,10,5179020
802,581,11,5125582
663,673,8,3569592
488,854,2,833504
684,116,6,476064
745,643,8,3832280
683,853,8,4660792
701,123,7,603561
505,804,2,812040
466,779,10,3630140
746,863,7,4506586
548,935,9,4611420
247,731,11,1986127
828,259,9,1930068
568,157,9,802584
978,131,7,896826
980,950,5,4655000
532,447,5,1189020
663,523,9,3120741
373,970,10,3618100
792,664,6,3155328
892,617,4,2201456
787,817,10,6429790
986,110,7,759220
565,455,2,514150
999,985,1,984015
677,256,7,1213184
320,672,3,645120
374,554,7,1450372
699,418,8,2337456
764,633,8,3868896
682,472,1,321904
984,407,6,2402928
305,867,9,2379915
173,293,7,354823
755,406,8,2452240
518,701,4,1452472
926,278,2,514856
927,348,9,2903364
788,710,11,6154280
523,220,11,1265660
252,674,7,1188936
313,721,11,2482403
533,603,10,3213990
183,653,8,955992
839,241,3,606597
745,514,4,1531720
133,164,11,239932
397,134,4,212792
931,972,4,3619728
598,182,1,108836
910,914,8,6653920
807,191,9,1387233
983,402,8,3161328
234,363,4,339768
458,705,1,322890
105,477,9,450765
400,137,3,164400
636,438,1,278568
539,267,11,1583043
888,317,10,2814960
375,517,7,1357125
379,906,3,1030122
843,304,1,256272
701,982,1,688382
326,627,5,1022010
552,675,8,2980800
304,787,4,956992
858,960,4,3294720
932,528,10,4920960
851,375,10,3191250
708,884,11,6884592
668,578,2,772208
450,352,6,950400
367,499,11,2014463
902,868,7,5480552
340,966,1,328440
870,128,11,1224960
827,822,8,5438352
298,747,10,2226060
744,935,7,4869480
624,239,4,596544
206,230,3,142140
865,813,3,2109735
599,138,5,413310
292,409,7,835996
264,702,11,2038608
227,123,10,279210
356,152,10,541120
277,588,2,325752
269,639,2,343782
299,622,3,557934
364,350,4,509600
745,853,7,4448395
383,655,5,1254325
445,132,5,293700
342,954,1,326268
834,890,7,5195820
794,541,3,1288662
869,147,6,766458
165,236,7,272580
851,232,9,1776888
406,654,9,2389716
262,845,2,442780
107,557,5,297995
973,486,8,3783024
686,807,8,4428816
835,807,1,673845
915,932,10,8527800
597,848,5,2531280
965,676,4,2609360
405,841,10,3406050
169,764,1,129116
357,535,8,1527960
387,806,11,3431142
252,771,10,1942920
288,845,2,486720
151,335,7,354095
115,446,6,307740
570,812,7,3239880
289,819,5,1183455
496,426,3,633888
676,937,8,5067296
578,226,8,1045024
984,662,5,3257040
727,583,7,2966887
584,318,9,1671408
597,661,3,1183851
834,873,1,728082
837,212,9,1596996
411,655,8,2153640
852,815,10,6943800
340,863,11,3227620
829,459,1,380511
784,757,9,5341392
667,992,5,3308320
991,214,9,1908666
726,303,3,659934
661,324,11,2355804
394,726,8,2288352
827,390,10,3225300
698,479,9,3009078
670,754,6,3031080
868,835,6,4348680
783,409,7,2241729
218,968,3,633072
420,878,4,1475040
970,603,10,5849100
674,269,2,362612
593,124,8,588256
941,743,9,6292467
328,147,5,241080
429,601,10,2578290
830,819,4,2719080
480,150,11,792000
622,677,2,842188
894,424,10,3790560
245,100,3,73500
827,676,8,4472416
977,202,3,592062
814,294,2,478632
670,264,5,884400
828,538,7,3118248
959,879,9,7586649
425,978,9,3740850
867,359,9,2801277
325,572,8,1487200
226,501,7,792582
581,111,2,128982
531,514,1,272934
398,476,3,568344
195,822,9,1442610
244,429,6,628056
855,222,9,1708290
461,638,6,1764708
576,741,1,426816
323,363,6,703494
301,790,8,1902320
295,723,1,213285
861,136,10,1170960
594,684,1,406296
577,518,11,3287746
138,513,4,283176
728,816,10,5940480
677,884,10,5984680
522,153,11,878526
978,935,3,2743290
304,120,7,255360
604,902,4,2179232
155,323,4,200260
903,120,5,541800
616,146,5,449680
368,817,5,1503280
989,989,9,8803089
741,766,7,3973242
405,565,6,1372950
469,146,7,479318
477,735,7,2454165
190,456,6,519840
783,379,4,1187028
969,970,10,9399300
707,644,9,4097772
617,785,8,3874760
677,458,6,1860396
761,692,4,2106448
448,775,9,3124800
479,753,8,2885496
885,888,7,5501160
309,586,2,362148
840,952,10,7996800
981,758,11,8179578
408,459,9,1685448
684,132,4,361152
184,762,4,560832
924,653,10,6033720
455,817,8,2973880
512,228,10,1167360
651,845,9,4950855
420,856,5,1797600
924,911,5,4208820
754,604,4,1821664
697,651,7,3176229
507,573,3,871533
734,642,10,4712280
518,122,3,189588
544,280,3,456960
385,935,6,2159850
982,379,5,1860890
956,478,4,1827872
175,499,3,261975
722,123,7,621642
489,755,1,369195
480,722,5,1732800
677,989,5,3347765
212,796,1,168752
906,900,9,7338600
446,555,11,2722830
368,619,9,2050128
393,127,9,449199
967,478,7,3235582
549,755,5,2072475
596,624,7,2603328
569,468,10,2662920
278,581,9,1453662
151,558,8,674064
224,399,9,804384
736,935,8,5505280
222,871,11,2126982
543,954,2,1036044
531,698,1,370638
724,513,7,2599884
780,559,6,2616120
413,120,8,396480
502,107,5,268570
504,752,6,2274048
891,919,4,3275316
512,285,4,583680
989,729,8,5767848
533,171,3,273429
153,973,3,446607
156,421,5,328380
566,138,1,78108
209,703,4,587708
279,812,4,906192
948,716,8,5430144
849,805,3,2050335
187,714,3,400554
188,935,2,351560
568,249,3,424296
635,855,8,4343400
500,316,6,948000
724,649,4,1879504
537,734,1,394158
469,634,8,2378768
417,985,4,1642980
503,814,11,4503862
192,113,5,108480
586,684,1,400824
457,484,5,1105940
949,535,1,507715
806,749,6,3622164
843,730,9,5538510
237,435,9,927855
222,194,8,344544
666,322,6,1286712
395,982,11,4266790
622,530,3,988980
101,802,9,729018
216,614,11,1458864
164,828,9,1222128
128,489,7,438144
978,187,2,365772
650,708,7,3221400
330,653,1,215490
987,143,3,423423
771,429,4,1323036
775,286,1,221650
484,224,1,108416
982,912,7,6269088
886,675,7,4186350
956,916,10,8756960
262,843,10,2208660
524,644,1,337456
634,830,9,4735980
446,440,11,2158640
211,532,2,224504
539,279,8,1203048
173,750,5,648750
291,808,7,1645896
558,740,10,4129200
555,455,9,2272725
302,125,9,339750
660,456,2,601920
634,725,8,3677200
355,308,2,218680
751,307,10,2305570
319,209,9,600039
770,896,6,4139520
632,106,8,535936
940,927,1,871380
496,480,11,2618880
500,463,11,2546500
107,594,5,317790
200,397,10,794000
312,898,7,1961232
136,156,11,233376
768,536,6,2469888
961,587,7,3948749
273,860,2,469560
561,571,7,2242317
727,715,10,5198050
513,620,5,1590300
368,886,8,2608384
496,993,7,3447696
904,770,7,4872560
599,791,8,3790472
466,345,7,1125390
595,950,11,6217750
606,673,3,1223514
445,879,6,2346930
183,746,6,819108
610,238,10,1451800
361,789,10,2848290
379,909,4,1378044
530,119,6,378420
348,313,9,980316
302,929,2,561116
831,987,4,3280788
417,319,7,931161
254,514,8,1044448
120,728,11,960960
672,778,4,2091264
591,358,10,2115780
429,459,11,2166021
758,853,8,5172592
929,423,11,4322637
913,409,5,1867085
614,932,2,1144496
965,402,3,1163790
570,463,6,1583460
375,221,11,911625
195,780,9,1368900
805,147,5,591675
981,455,7,3124485
861,502,8,3457776
403,747,7,2107287
482,238,6,688296
973,702,7,4781322
532,723,11,4230996
230,800,6,1104000
164,178,1,29192
784,668,2,1047424
139,928,10,1289920
624,800,5,2496000
660,388,3,768240
227,628,11,1568116
565,568,2,641840
572,297,7,1189188
835,892,9,6703380
483,308,8,1190112
216,964,11,2290464
727,722,8,4199152
184,717,1,131928
742,611,10,4533620
199,214,9,383274
671,591,7,2775927
312,422,8,1053312
263,755,4,794260
507,367,7,1302483
569,186,7,740838
831,368,7,2140656
350,381,7,933450
418,178,9,669636
164,172,7,197456
761,652,2,992344
856,317,2,542704
513,548,11,3092364
248,460,2,228160
269,271,11,801889
364,729,11,2918916
355,100,8,284000
576,300,9,1555200
636,696,3,1327968
574,718,4,1648528
788,741,1,583908
525,443,7,1628025
280,326,5,456400
543,206,2,223716
689,930,7,4485390
653,402,7,1837542
254,387,1,98298
767,749,10,5744830
523,500,11,2876500
926,753,3,2091834
903,256,6,1387008
348,629,2,437784
655,316,2,413960
101,595,10,600950
127,153,1,19431
905,400,11,3982000
309,659,6,1221786
280,814,1,227920
124,602,7,522536
655,981,3,1927665
336,502,1,168672
516,807,11,4580532
753,339,11,2807937
614,736,11,4970944
345,712,1,245640
974,679,5,3306730
546,602,6,1972152
812,871,2,1414504
189,207,8,312984
672,706,6,2846592
850,346,1,294100
822,574,9,4246452
510,914,4,1864560
317,515,3,489765
241,532,2,256424
373,590,11,2420770
665,341,1,226765
233,664,2,309424
838,990,6,4977720
594,464,6,1653696
275,855,6,1410750
643,372,1,239196
701,135,11,1040985
160,895,11,1575200
448,346,8,1240064
100,629,4,251600
241,137,1,33017
125,552,8,552000
550,335,4,737000
581,645,6,2248470
666,355,6,1418580
583,539,3,942711
483,547,8,2113608
646,247,6,957372
819,839,7,4809987
768,551,2,846336
484,841,11,4477484
253,299,3,226941
271,617,3,501621
971,903,7,6137691
131,959,9,1130661
367,277,8,813272
339,187,5,316965
347,239,3,248799
734,721,2,1058428
855,599,1,512145
317,254,11,885698
307,365,6,672330
387,671,3,779031
148,946,5,700040
414,604,2,500112
669,714,4,1910664
380,368,9,1258560
593,509,11,3320207
977,116,9,1019988
753,759,7,4000689
208,217,1,45136
434,908,9,3546648
424,684,9,2610144
708,721,7,3573276
931,888,11,9094008
443,196,1,86828
665,251,2,333830
865,409,3,1061355
509,103,10,524270
830,272,2,451520
884,381,11,3704844
233,580,3,405420
443,475,8,1683400
371,328,1,121688
894,250,2,447000
745,913,9,6121665
375,132,9,445500
507,524,3,797004
412,192,6,474624
603,657,5,1980855
459,739,5,1696005
303,191,9,520857
752,576,5,2165760
248,101,2,50096
191,553,1,105623
167,215,8,287240
669,472,10,3157680
311,289,4,359516
264,212,1,55968
685,599,10,4103150
278,297,5,412830
561,499,11,3079329
438,782,2,685032
367,382,8,1121552
671,824,2,1105808
416,242,3,302016
415,618,9,2308230
735,100,1,73500
817,197,9,1448541
314,693,1,217602
403,643,10,2591290
625,674,11,4633750
548,964,11,5810992
685,529,5,1811825
175,536,3,281400
767,478,7,2566382
294,870,7,1790460
799,989,7,5531477
229,729,3,500823
172,729,8,1003104
674,102,11,756228
864,641,3,1661472
223,276,5,307740
908,727,7,4620812
612,990,1,605880
330,379,9,1125630
936,519,9,4372056
674,336,4,905856
893,307,6,1644906
178,389,1,69242
185,540,9,899100
296,715,1,211640
459,959,6,2641086
183,710,4,519720
734,343,6,1510572
266,476,8,1012928
892,351,1,313092
458,537,6,1475676
931,515,6,2876790
151,830,8,1002640
810,346,11,3082860
977,799,10,7806230
393,184,1,72312
170,890,7,1059100
349,905,9,2842605
749,876,5,3280620
289,569,5,822205
777,208,3,484848
807,469,11,4163313
974,136,4,529856
435,919,6,2398590
294,587,9,1553202
708,750,11,5841000
796,211,10,1679560
275,944,5,1298000
943,428,5,2018020
688,318,9,1969056
861,594,11,5625774
653,384,1,250752
937,997,3,2802567
525,953,2,1000650
658,579,3,1142946
404,325,6,787800
738,546,11,4432428
313,908,11,3126244
448,997,6,2679936
436,229,6,599064
378,144,1,54432
458,375,7,1202250
930,960,2,1785600
927,242,7,1570338
210,121,4,101640
975,524,11,5619900
277,228,1,63156
496,709,7,2461648
210,659,7,968730
864,582,6,3017088
715,669,11,5261685
305,543,8,1324920
582,844,8,3929664
488,869,10,4240720
973,118,10,1148140
350,834,8,2335200
827,987,7,5713743
592,382,4,904576
662,970,2,1284280
304,319,10,969760
335,515,2,345050
594,830,7,3451140
119,679,8,646408
324,644,8,1669248
910,159,8,1157520
786,180,8,1131840
523,707,9,3327849
440,656,6,1731840
213,987,2,420462
856,147,4,503328
519,407,7,1478631
562,539,8,2423344
891,847,10,7546770
251,832,2,417664
291,340,4,395760
905,401,11,3991955
670,232,8,1243520
811,311,11,2774431
871,637,9,4993443
809,998,5,4036910
667,305,5,1017175
318,892,4,1134624
247,585,11,1589445
138,928,5,640320
966,632,9,5494608
137,868,7,832412
550,960,10,5280000
806,396,3,957528
142,988,10,1402960
137,286,5,195910
425,923,1,392275
599,941,10,5636590
892,505,2,900920
219,421,11,1014189
647,324,6,1257768
839,133,6,669522
775,916,10,7099000
401,672,1,269472
886,739,9,5892786
609,370,1,225330
957,354,7,2371446
905,837,11,8332335
758,176,11,1467488
426,768,11,3598848
310,444,5,688200
229,698,5,799210
988,513,7,3547908
207,497,8,823032
829,574,10,4758460
914,404,9,3323304
143,523,4,299156
261,816,10,2129760
176,730,6,770880
131,718,7,658406
509,535,5,1361575
430,865,3,1115850
662,236,8,1249856
685,164,2,224680
639,521,4,1331676
230,833,1,191590
743,125,3,278625
319,793,11,2782637
243,485,7,824985
803,489,9,3534003
778,327,4,1017624
923,346,3,958074
693,306,8,1696464
944,248,3,702336
408,167,4,272544
892,370,1,330040
329,715,5,1176175
359,406,9,1311786
469,692,6,1947288
451,139,6,376134
272,704,2,382976
551,334,2,368068
281,204,5,286620
183,582,5,532530
121,123,1,14883
686,474,1,325164
350,495,7,1212750
792,699,5,2768040
157,880,6,828960
848,418,8,2835712
603,494,7,2085174
389,993,1,386277
502,813,11,4489386
800,195,7,1092000
962,981,8,7549776
105,799,1,83895
301,211,2,127022
372,267,9,893916
769,414,7,2228562
842,424,2,714016
249,563,11,1542057
587,358,5,1050730
816,875,9,6426000
543,747,2,811242
533,962,7,3589222
334,516,4,689376
787,938,7,5167442
694,161,3,335202
454,807,1,366378
769,197,10,1514930
777,919,7,4998441
569,484,4,1101584
103,315,11,356895
915,773,8,5658360
140,571,5,399700
664,135,6,537840
896,516,5,2311680
989,378,3,1121526
441,962,11,4666662
558,657,9,3299454
877,370,8,2595920
231,941,3,652113
475,694,2,659300
220,497,9,984060
538,697,5,1874930
990,398,4,1576080
767,219,4,671892
923,807,7,5214027
475,242,4,459800
593,893,9,4765941
293,164,2,96104
400,161,9,579600
857,107,5,458495
359,842,6,1813668
337,697,2,469778
941,835,6,4714410
958,392,5,1877680
665,239,4,635740
680,778,7,3703280
559,403,1,225277
423,402,11,1870506
941,560,8,4215680
642,560,9,3235680
424,405,5,858600
758,581,5,2201990
834,450,11,4128300
201,639,3,385317
366,832,9,2740608
331,875,9,2606625
377,643,1,242411
984,950,4,3739200
849,329,2,558642
705,210,7,1036350
353,301,1,106253
361,483,5,871815
941,795,4,2992380
400,679,4,1086400
390,515,8,1606800
405,489,5,990225
246,758,6,1118808
668,159,7,743484
536,919,2,985168
585,228,3,400140
905,715,9,5823675
994,705,9,6306930
481,657,3,948051
216,293,3,189864
439,679,5,1490405
696,110,9,689040
482,401,9,1739538
367,217,9,716751
890,216,3,576720
228,383,7,611268
989,532,8,4209184
488,787,7,2688392
948,838,3,2383272
513,962,5,2467530
917,650,1,596050
318,833,1,264894
341,651,4,887964
225,360,8,648000
944,566,2,1068608
975,998,11,10703550
269,781,1,210089
899,509,9,4118319
927,271,2,502434
224,567,11,1397088
446,329,5,733670
428,424,6,1088832
852,447,7,2665908
509,504,5,1282680
877,571,11,5508437
297,104,11,339768
594,649,5,1927530
851,940,7,5599580
682,761,5,2595010
661,886,5,2928230
650,794,11,5677100
940,344,9,2910240
396,175,6,415800
488,698,3,1021872
808,999,9,7264728
476,575,6,1642200
739,522,5,1928790
351,232,3,244296
104,206,1,21424
224,695,11,1712480
705,114,3,241110
779,856,11,7335064
508,207,8,841248
884,135,11,1312740
719,969,4,2786844
612,110,7,471240
873,760,1,663480
129,664,10,856560
929,263,6,1465962
327,121,6,237402
748,998,4,2986016
664,126,1,83664
725,511,4,1481900
803,199,10,1597970
860,223,10,1917800
911,101,7,644077
572,679,1,388388
871,433,1,377143
194,899,7,1220842
351,678,5,1189890
902,525,5,2367750
718,112,11,884576
192,753,5,722880
749,822,9,5541102
891,990,6,5292540
436,881,2,768232
867,928,8,6436608
199,840,4,668640
621,552,3,1028376
267,923,2,492882
406,233,3,283794
271,172,8,372896
537,125,7,469875
147,939,2,276066
911,464,10,4227040
700,386,10,2702000
773,458,2,708068
791,682,1,539462
786,690,4,2169360
837,992,8,6642432
193,990,2,382140
831,938,2,1558956
926,534,2,988968
406,542,3,660156
315,480,1,151200
664,150,1,99600
787,707,1,556409
938,674,2,1264424
556,984,6,3282624
200,884,6,1060800
499,193,7,674149
404,801,6,1941624
513,582,6,1791396
202,728,7,1029392
626,485,1,303610
471,575,5,1354125
409,701,3,860127
426,473,1,201498
369,367,5,677115
213,440,5,468600
888,434,11,4239312
427,196,9,753228
565,976,6,3308640
380,277,4,421040
563,816,11,5053488
933,320,3,895680
157,577,9,815301
307,719,2,441466
480,387,10,1857600
704,863,2,1215104
913,247,7,1578577
369,404,10,1490760
397,677,9,2418921
300,675,9,1822500
610,306,6,1119960
599,994,6,3572436
351,836,10,2934360
664,180,8,956160
657,500,3,985500
708,223,5,789420
453,935,6,2541330
376,585,2,439920
262,362,1,94844
331,675,10,2234250
298,143,7,298298
540,763,10,4120200
464,789,1,366096
650,964,4,2506400
744,555,11,4542120
733,853,5,3126245
442,853,4,1508104
634,848,5,2688160
602,553,4,1331624
517,928,5,2398880
259,900,4,932400
725,713,5,2584625
176,339,1,59664
463,955,2,884330
213,844,3,539316
635,145,4,368300
852,537,11,5032764
822,505,1,415110
200,679,7,950600
315,577,2,363510
971,912,7,6198864
517,561,2,580074
636,445,2,566040
907,234,5,1061190
527,804,5,2118540
902,481,5,2169310
486,647,1,314442
150,321,4,192600
635,795,3,1514475
202,981,3,594486
764,724,9,4978224
852,404,11,3786288
360,732,8,2108160
617,275,11,1866425
807,375,8,2421000
458,322,2,294952
815,817,5,3329275
417,646,9,2424438
546,700,4,1528800
727,914,4,2657912
236,645,5,761100
570,161,5,458850
829,926,3,2302962
819,364,3,894348
587,865,4,2031020
398,181,9,648342
589,395,11,2559205
891,288,1,256608
563,796,9,4033332
548,915,9,4512780
866,440,8,3048320
276,162,11,491832
334,826,1,275884
106,374,8,317152
241,643,5,774815
325,925,10,3006250
898,495,11,4889610
457,892,6,2445864
349,889,9,2792349
521,996,2,1037832
862,721,11,6836522
374,387,3,434214
599,957,2,1146486
371,880,2,652960
627,471,8,2362536
933,762,8,5687568
527,301,1,158627
481,356,4,684944
281,619,10,1739390
664,654,8,3474048
741,628,1,465348
621,360,11,2459160
496,317,6,943392
598,287,7,1201382
229,555,5,635475
502,630,5,1581300
780,648,5,2527200
639,862,11,6058998
417,807,8,2692152
366,877,3,962946
194,814,10,1579160
101,296,6,179376
457,235,2,214790
293,553,1,162029
544,695,3,1134240
315,677,11,2345805
380,646,6,1472880
454,381,9,1556766
642,934,3,1798884
208,604,3,376896
630,256,1,161280
114,420,5,239400
450,887,8,3193200
669,452,2,604776
274,760,11,2290640
350,592,1,207200
830,329,7,1911490
409,828,2,677304
394,922,6,2179608
534,500,1,267000
336,505,6,1018080
900,161,4,579600
930,893,9,7474410
144,134,9,173664
125,147,2,36750
522,322,9,1512756
808,236,9,1716192
216,435,3,281880
331,136,2,90032
440,455,5,1001000
259,359,5,464905
329,213,10,700770
679,376,3,765912
230,161,6,222180
622,412,7,1793848
351,573,6,1206738
350,497,8,1391600
441,457,11,2216907
196,523,1,102508
222,766,1,170052
563,751,6,2536878
796,271,7,1510012
759,780,7,4144140
698,622,2,868312
118,499,3,176646
845,428,8,2893280
198,545,11,1187010
878,774,8,5436576
409,321,4,525156
791,954,1,754614
147,768,8,903168
733,762,6,3351276
795,333,1,264735
606,730,5,2211900
181,698,3,379014
623,439,4,1093988
738,669,8,3949776
157,447,7,491253
746,707,8,4219376
542,213,9,1039014
691,602,8,3327856
956,101,8,772448
264,692,7,1278816
195,848,5,826800
595,141,4,335580
764,814,7,4353272
671,173,6,696498
265,935,7,1734425
893,843,3,2258397
844,818,10,6903920
204,236,5,240720
308,279,7,601524
371,968,6,2154768
939,251,7,1649823
960,942,1,904320
583,135,4,314820
277,917,5,1270045
298,299,8,712816
238,220,7,366520
798,224,7,1251264
734,491,1,360394
474,797,10,3777780
313,467,11,1607881
875,327,10,2861250
550,895,3,1476750
360,484,8,1393920
824,137,6,677328
994,522,3,1556604
364,182,7,463736
520,384,8,1597440
423,181,10,765630
724,662,3,1437864
908,151,6,822648
565,887,1,501155
465,424,4,788640
802,479,1,384158
961,996,6,5742936
851,694,8,4724752
668,174,5,581160
478,822,8,3143328
591,720,4,1702080
737,462,8,2723952
365,788,2,575240
525,702,7,2579850
536,402,11,2370192
798,832,10,6639360
381,386,11,1617726
278,172,1,47816
943,167,1,157481
964,346,5,1667720
213,718,10,1529340
878,111,3,292374
549,203,1,111447
765,108,3,247860
416,421,2,350272
351,516,8,1448928
300,425,11,1402500
763,176,2,268576
322,755,8,1944880
610,757,7,3232390
606,431,3,783558
160,963,10,1540800
571,928,10,5298880
511,205,4,419020
420,681,3,858060
968,178,4,689216
756,761,3,1725948
486,490,2,476280
826,272,2,449344
974,696,9,6101136
312,330,2,205920
500,830,4,1660000
838,815,1,682970
807,811,11,7199247
670,865,4,2318200
235,959,11,2479015
296,981,11,3194136
156,203,4,126672
436,459,2,400248
781,683,9,4800807
366,152,8,445056
435,663,1,288405
406,262,11,1170092
267,546,5,728910
151,371,2,112042
664,600,2,796800
138,815,10,1124700
152,499,2,151696
400,592,5,1184000
674,213,8,1148496
226,912,10,2061120
857,257,9,1982241
256,141,5,180480
751,295,2,443090
864,895,5,3866400
719,282,1,202758
239,292,7,488516
111,268,10,297480
893,466,11,4577518
577,275,4,634700
805,680,2,1094800
104,999,6,623376
915,742,1,678930
543,147,8,638568
421,491,10,2067110
189,604,6,684936
782,414,10,3237480
312,705,11,2419560
127,734,4,372872
213,751,10,1599630
572,921,10,5268120
292,609,2,355656
595,878,7,3656870
116,278,6,193488
400,963,4,1540800
575,863,4,1984900
176,834,10,1467840
564,720,2,812160
426,531,3,678618
858,943,2,1618188
354,285,2,201780
318,948,9,2713176
126,973,4,490392
381,922,2,702564
955,953,9,8191035
210,121,6,152460
955,883,1,843265
906,761,2,1378932
944,327,6,1852128
337,236,10,795320
114,753,11,944262
361,859,1,310099
407,295,5,600325
474,918,4,1740528
270,148,4,159840
636,708,11,4953168
670,228,4,611040
624,449,3,840528
434,397,8,1378384
278,963,6,1606284
410,862,4,1413680
945,442,7,2923830
459,987,2,906066
535,667,3,1070535
836,632,2,1056704
699,519,3,1088343
387,559,7,1514331
810,579,8,3751920
222,814,6,1084248
907,301,11,3003077
568,914,6,3114912
799,668,8,4269856
181,440,10,796400
365,922,5,1682650
375,978,3,1100250
808,190,7,1074640
946,541,5,2558930
951,189,3,539217
138,242,7,233772
323,879,9,2555253
227,881,2,399974
986,842,7,5811484
435,285,6,743850
734,951,3,2094102
437,822,1,359214
138,419,4,231288
437,518,1,226366
738,204,3,451656
867,231,5,1001385
169,936,10,1581840
978,245,2,479220
714,720,2,1028160
293,418,5,612370
432,197,1,85104
891,713,1,635283
340,447,3,455940
981,393,7,2698731
642,869,6,3347388
285,740,7,1476300
928,183,9,1528416
727,262,7,1333318
895,709,6,3807330
361,913,11,3625523
596,885,3,1582380
889,769,2,1367282
907,965,1,875255
834,353,5,1472010
935,876,4,3276240
240,134,11,353760
941,621,3,1753083
542,431,7,1635214
505,704,1,355520
963,869,5,4184235
984,730,3,2154960
882,871,2,1536444
906,415,6,2255940
645,263,7,1187445
954,324,5,1545480
474,640,6,1820160
483,518,10,2501940
933,298,10,2780340
913,702,7,4486482
384,189,4,290304
477,687,8,2621592
283,523,2,296018
181,227,10,410870
633,397,4,1005204
947,498,5,2358030
123,153,9,169371
227,785,9,1603755
617,329,7,1420951
770,965,10,7430500
377,371,6,839202
436,762,3,996696
550,574,9,2841300
789,191,4,602796
605,694,1,419870
330,630,7,1455300
108,574,9,557928
887,155,6,824910
149,937,9,1256517
783,844,7,4625964
334,319,5,532730
572,612,2,700128
736,528,5,1943040
721,468,6,2024568
795,600,11,5247000
973,325,2,632450
121,656,1,79376
868,350,2,607600
887,514,11,5015098
749,944,3,2121168
235,421,11,1088285
669,686,7,3212538
192,565,7,759360
411,103,6,253998
703,265,5,931475
755,193,9,1311435
819,859,9,6331689
629,708,11,4898652
891,559,4,1992276
741,745,6,3312270
491,765,4,1502460
252,138,1,34776
232,550,4,510400
646,374,4,966416
965,239,5,1153175
524,642,10,3364080
532,426,7,1586424
779,503,4,1567348
650,571,4,1484600
553,139,2,153734
715,387,9,2490345
771,550,7,2968350
319,798,10,2545620
732,562,7,2879688
407,662,9,2424906
609,684,1,416556
412,714,4,1176672
733,427,11,3442901
818,191,10,1562380
596,923,10,5501080
316,701,2,443032
313,325,5,508625
868,360,1,312480
795,973,2,1547070
586,354,2,414888
727,187,10,1359490
992,281,3,836256
959,409,5,1961155
447,531,8,1898856
797,759,3,1814769
852,578,8,3939648
191,551,2,210482
896,384,9,3096576
299,274,4,327704
125,897,8,897000
295,479,2,282610
448,455,5,1019200
689,390,1,268710
306,584,7,1250928
843,460,3,1163340
342,251,3,257526
167,599,5,500165
357,421,7,1052079
168,925,5,777000
597,978,10,5838660
667,695,10,4635650
935,452,8,3380960
766,162,9,1116828
572,621,3,1065636
812,346,2,561904
296,491,1,145336
976,579,2,1130208
367,252,7,647388
237,666,9,1420578
477,684,2,652536
501,743,6,2233458
973,956,10,9301880
971,363,3,1057419
608,431,2,524096
461,768,11,3894528
275,287,8,631400
878,212,1,186136
371,345,4,511980
197,126,3,74466
930,822,8,6115680
652,114,2,148656
727,638,4,1855304
861,595,6,3073770
658,911,10,5994380
116,709,4,328976
770,434,8,2673440
